year,county_str,annual_prem,n_obs
2023,12075,2621.3132,267
2018,12077,1905.2102,27
2019,12077,1904.9102,35
2020,12077,1665.0052,36
2021,12077,2078.02,25
2022,12077,2486.4399,28
2023,12077,2372.395,18
2018,12079,1386.2598,117
2019,12079,1425.0398,119
2020,12079,1388.6198,119
2021,12079,1567.3303,101
2022,12079,2274.1997,105
2023,12079,2508.6304,68
2018,12081,1689.72,7565
2019,12081,1968.5061,8192
2020,12081,1713.0798,7791
2021,12081,1937.7753,7370
2022,12081,2516.374,7468
2023,12081,2821.0493,4387
2018,12083,1109.3928,7250
2019,12083,1157.8416,7871
2020,12083,1234.0701,8003
2021,12083,1399.8198,7587
2022,12083,1824.4098,7662
2023,12083,2109.4736,4372
2018,12085,2506.8025,3316
2019,12085,2691.502,3278
2020,12085,2707.0703,3389
2021,12085,3246.4697,3039
2022,12085,4081.7908,2939
2023,12085,4814.4795,1824
2018,12086,3685.8467,28840
2019,12086,3870.6145,30731
2020,12086,3916.8599,30415
2021,12086,4237.3159,28269
2022,12086,4872.3394,28729
2023,12086,5443.6855,18500
2018,12087,4951.9878,1696
2019,12087,5275.3276,1855
2020,12087,5435.2881,1773
2021,12087,5616.0049,1443
2022,12087,6568.6904,1611
2023,12087,7607.8936,930
2018,12089,1468.5696,2351
2019,12089,1610.0746,2520
2020,12089,1566.0552,2414
2021,12089,1751.7549,2192
2022,12089,2262.979,2033
2023,12089,2460.7139,1201
2018,12091,1780.3596,8643
2019,12091,1731.3098,8830
2020,12091,1914.2307,8529
2021,12091,2263.2295,8473
2022,12091,2879.2368,7435
2023,12091,3256.5996,4377
2018,12093,1759.3055,300
2019,12093,1952.6201,317
2020,12093,1944.3101,338
2021,12093,2258.5674,279
2022,12093,2856.3047,295
2023,12093,3480.6204,189
2018,12095,1595.6831,25830
2019,12095,1800.9502,27003
2020,12095,1882.73,26731
2021,12095,2194.0935,27219
2022,12095,2558.2798,26978
2023,12095,2886.8298,16149
2018,12097,1542.0708,6156
2019,12097,1713.8792,6724
2020,12097,1794.24,6513
2021,12097,1982.1885,7074
2022,12097,2347.6489,7487
2023,12097,2634.2363,4459
2018,12099,2641.2617,25115
2019,12099,2993.689,25696
2020,12099,3278.7295,25454
2021,12099,3465.7397,23381
2022,12099,4319.3701,22608
2023,12099,5118.8188,13897
2018,12101,1495.1477,12205
2019,12101,1558.9597,13011
2020,12101,1679.3998,12753
2021,12101,1791.6497,12288
2022,12101,2299.3589,12252
2023,12101,2673.4502,7123
2018,12103,2157.6763,22264
2019,12103,2299.1401,23498
2020,12103,2287.5996,23667
2021,12103,2613.707,20694
2022,12103,3069.6409,19733
2023,12103,3361.9854,12320
2018,12105,1512.7106,10867
2019,12105,1680.7983,11748
2020,12105,1709.5796,11043
2021,12105,1859.0105,11871
2022,12105,2277.8774,12381
2023,12105,2637.99,7144
2018,12107,1455.02,599
2019,12107,1375.6494,687
2020,12107,1411.7748,660
2021,12107,1659.0358,618
2022,12107,2124.1997,641
2023,12107,2496.0093,418
2018,12109,1578.5441,8947
2019,12109,1518.2751,9472
2020,12109,1654.6797,9555
2021,12109,1755.3403,8159
2022,12109,2306.429,7947
2023,12109,2595.6487,4706
2018,12111,1771.1702,8909
2019,12111,1892.0461,9146
2020,12111,2020.5897,9083
2021,12111,2337.0601,9344
2022,12111,2874.3684,9265
2023,12111,3347.7554,5511
2018,12113,1614.4812,6881
2019,12113,1654.7703,7125
2020,12113,1754.0095,6703
2021,12113,2133.3015,6502
2022,12113,2716.2002,6144
2023,12113,3099.2002,3633
2018,12115,1697.4567,10085
2019,12115,1724.4775,10636
2020,12115,1755.3901,10687
2021,12115,1979.6046,9840
2022,12115,2490.978,9664
2023,12115,2831.5742,5930
2018,12117,1634.7007,10287
2019,12117,1823.4397,10885
2020,12117,1902.6489,10749
2021,12117,2218.9756,10484
2022,12117,2645.5825,10561
2023,12117,2948.5205,6088
2018,12119,967.33954,2106
2019,12119,1079.2107,2238
2020,12119,1236.9148,2516
2021,12119,1329.5505,1901
2022,12119,1548.1052,1928
2023,12119,1840.1499,1219
2018,12121,1334.6149,260
2019,12121,1585.8356,296
2020,12121,1603.8451,266
2021,12121,1898.8173,201
2022,12121,2331.2598,233
2023,12121,2524.4302,152
2018,12123,1515.0808,197
2019,12123,1728.5713,226
2020,12123,1721.22,218
2021,12123,2025.7798,191
2022,12123,2542.98,183
2023,12123,3149.54,111
2018,12125,1652.4462,76
2019,12125,1695.0303,83
2020,12125,1512.3296,80
2021,12125,1783.6763,71
2022,12125,2186.1101,63
2023,12125,2475.3403,45
2018,12127,1378.8394,13441
2019,12127,1433.4297,14421
2020,12127,1539.1172,14214
2021,12127,1819.1792,14666
2022,12127,2274.54,14820
2023,12127,2477.1814,8698
2018,12129,1396.99,744
2019,12129,1422.9805,808
2020,12129,1424.2999,805
2021,12129,1523.1346,712
2022,12129,2054.3108,742
2023,12129,2337.52,474
2018,12131,2034.4656,1970
2019,12131,1948.4697,2161
2020,12131,2023.8945,2104
2021,12131,2349.4197,1935
2022,12131,3072.8408,1827
2023,12131,3555.1196,1041
2018,12133,1411.5598,216
2019,12133,1660.6096,258
2020,12133,1722.8799,244
2021,12133,1952.2419,201
2022,12133,2461.7,239
2023,12133,2845.9233,126
