date,county,policies
2021-03-31,Citrus,3719
2021-03-31,Martin,2118
2021-03-31,Polk,2565
2021-03-31,Indian River,2210
2021-03-31,Lake,2504
2021-03-31,Bay,2022
2021-03-31,Saint Johns,1463
2021-03-31,Okaloosa,1250
2021-03-31,Marion,1990
2021-03-31,Escambia,1306
2021-03-31,Leon,953
2021-03-31,Santa Rosa,1297
2021-03-31,Clay,988
2021-03-31,Alachua,999
2021-03-31,Highlands,784
2021-03-31,Levy,1038
2021-03-31,Nassau,695
2021-03-31,Flagler,471
2021-03-31,Taylor,661
2021-03-31,Gadsden,395
2021-03-31,Jackson,348
2021-03-31,Putnam,675
2021-03-31,Sumter,449
2021-03-31,Hendry,356
2021-03-31,Dixie,521
2021-03-31,Walton,486
2021-03-31,Monroe,243
2021-03-31,Columbia,390
2021-03-31,Okeechobee,264
2021-03-31,DeSoto,248
2021-03-31,Wakulla,342
2021-03-31,Gilchrist,402
2021-03-31,Suwannee,324
2021-03-31,Bradford,252
2021-03-31,Washington,208
2021-03-31,Baker,297
2021-03-31,Franklin,182
2021-03-31,Jefferson,185
2021-03-31,Holmes,106
2021-03-31,Glades,110
2021-03-31,Gulf,131
2021-03-31,Madison,124
2021-03-31,Hardee,91
2021-03-31,Calhoun,79
2021-03-31,Union,75
2021-03-31,Liberty,85
2021-03-31,Lafayette,75
2021-03-31,Hamilton,49
2021-06-30,Miami-Dade,115465
2021-06-30,Broward,85902
2021-06-30,Pinellas,68382
2021-06-30,Palm Beach,40934
2021-06-30,Hillsborough,27028
2021-06-30,Hernando,15991
2021-06-30,Pasco,17970
2021-06-30,Brevard,12918
2021-06-30,Orange,8336
2021-06-30,Lee,10579
2021-06-30,Saint Lucie,6187
2021-06-30,Manatee,7004
2021-06-30,Charlotte,5332
2021-06-30,Sarasota,5676
2021-06-30,Osceola,3611
2021-06-30,Volusia,4340
2021-06-30,Duval,3393
2021-06-30,Collier,3595
2021-06-30,Martin,2866
2021-06-30,Seminole,2380
2021-06-30,Polk,3064
2021-06-30,Okaloosa,2195
2021-06-30,Indian River,2943
2021-06-30,Citrus,3965
2021-06-30,Lake,2844
2021-06-30,Bay,2413
2021-06-30,Saint Johns,1607
2021-06-30,Escambia,1689
2021-06-30,Santa Rosa,1694
2021-06-30,Marion,2154
2021-06-30,Highlands,1267
2021-06-30,Leon,1049
2021-06-30,Clay,1046
2021-06-30,Alachua,1070
2021-06-30,Flagler,557
2021-06-30,Levy,1076
2021-06-30,Nassau,715
2021-06-30,Taylor,693
2021-06-30,Gadsden,413
2021-06-30,Hendry,406
2021-06-30,Jackson,374
2021-06-30,Putnam,691
2021-06-30,Sumter,474
2021-06-30,Okeechobee,315
2021-06-30,Walton,493
2021-06-30,Dixie,529
2021-06-30,DeSoto,274
2021-06-30,Columbia,397
2021-06-30,Monroe,241
2021-06-30,Wakulla,345
2021-06-30,Gilchrist,406
2021-06-30,Bradford,263
2021-06-30,Washington,223
2021-06-30,Suwannee,324
2021-06-30,Baker,306
2021-06-30,Franklin,183
2021-06-30,Jefferson,185
2021-06-30,Holmes,111
2021-06-30,Glades,114
2021-06-30,Gulf,138
2021-06-30,Hardee,108
2021-06-30,Madison,123
2021-06-30,Calhoun,82
2021-06-30,Union,77
2021-06-30,Liberty,85
2021-06-30,Lafayette,75
2021-06-30,Hamilton,51
2021-09-30,Miami-Dade,122642
2021-09-30,Broward,93785
2021-09-30,Pinellas,73817
2021-09-30,Palm Beach,48357
2021-09-30,Hillsborough,30740
2021-09-30,Hernando,16766
2021-09-30,Pasco,19374
2021-09-30,Brevard,15942
2021-09-30,Orange,11658
2021-09-30,Lee,12425
2021-09-30,Saint Lucie,7975
2021-09-30,Manatee,7754
2021-09-30,Osceola,4970
2021-09-30,Charlotte,6049
2021-09-30,Sarasota,6288
2021-09-30,Volusia,5307
2021-09-30,Duval,4388
2021-09-30,Seminole,3363
2021-09-30,Martin,3702
2021-09-30,Collier,4270
2021-09-30,Okaloosa,3196
2021-09-30,Polk,3990
2021-09-30,Indian River,3695
2021-09-30,Bay,2968
2021-09-30,Citrus,4252
2021-09-30,Lake,3228
2021-09-30,Escambia,2271
2021-09-30,Santa Rosa,2121
2021-09-30,Saint Johns,1818
2021-09-30,Highlands,1743
2021-09-30,Marion,2370
2021-09-30,Leon,1310
2021-09-30,Clay,1168
2021-09-30,Alachua,1176
2021-09-30,Flagler,644
2021-09-30,Levy,1100
2021-09-30,Nassau,732
2021-09-30,Taylor,731
2021-09-30,Hendry,454
2021-09-30,Gadsden,425
2021-09-30,Jackson,407
2021-09-30,Sumter,520
2021-09-30,Putnam,700
2021-09-30,Okeechobee,367
2021-09-30,Walton,524
2021-09-30,Dixie,553
2021-09-30,DeSoto,295
2021-09-30,Columbia,407
2021-09-30,Monroe,251
2021-09-30,Wakulla,379
2021-09-30,Gilchrist,415
2021-09-30,Baker,327
2021-09-30,Washington,223
2021-09-30,Bradford,263
2021-09-30,Suwannee,328
2021-09-30,Glades,131
2021-09-30,Holmes,122
2021-09-30,Jefferson,191
2021-09-30,Franklin,183
2021-09-30,Hardee,126
2021-09-30,Gulf,139
2021-09-30,Madison,124
2021-09-30,Calhoun,81
2021-09-30,Union,80
2021-09-30,Liberty,88
2021-09-30,Lafayette,79
2021-09-30,Hamilton,52
2021-12-31,Miami-Dade,127285
2021-12-31,Broward,98765
2021-12-31,Pinellas,77959
2021-12-31,Palm Beach,52953
2021-12-31,Hillsborough,33917
2021-12-31,Hernando,17557
2021-12-31,Brevard,18318
2021-12-31,Pasco,20488
2021-12-31,Orange,14572
2021-12-31,Lee,13711
2021-12-31,Saint Lucie,9111
2021-12-31,Osceola,6136
2021-12-31,Manatee,8372
2021-12-31,Charlotte,6660
2021-12-31,Volusia,6215
2021-12-31,Sarasota,6755
2021-12-31,Seminole,4420
2021-12-31,Duval,5326
2021-12-31,Martin,4175
2021-12-31,Polk,4860
2021-12-31,Okaloosa,3797
2021-12-31,Collier,4744
2021-12-31,Indian River,4084
2021-12-31,Lake,3592
2021-12-31,Citrus,4506
2021-12-31,Bay,3144
2021-12-31,Escambia,2540
2021-12-31,Santa Rosa,2416
2021-12-31,Saint Johns,1984
2021-12-31,Marion,2617
2021-12-31,Highlands,2078
2021-12-31,Leon,1436
2021-12-31,Clay,1308
2021-12-31,Alachua,1303
2021-12-31,Flagler,723
2021-12-31,Levy,1135
2021-12-31,Nassau,742
2021-12-31,Hendry,472
2021-12-31,Taylor,739
2021-12-31,Gadsden,445
2021-12-31,Sumter,564
2021-12-31,Jackson,417
2021-12-31,Putnam,718
2021-12-31,Okeechobee,416
2021-12-31,Walton,531
2021-12-31,Dixie,581
2021-12-31,DeSoto,320
2021-12-31,Monroe,270
2021-12-31,Columbia,433
2021-12-31,Wakulla,386
2021-12-31,Gilchrist,423
2021-12-31,Bradford,272
2021-12-31,Baker,339
2021-12-31,Washington,222
2021-12-31,Suwannee,327
2021-12-31,Glades,153
2021-12-31,Holmes,135
2021-12-31,Franklin,184
2021-12-31,Jefferson,195
2021-12-31,Hardee,134
2021-12-31,Gulf,136
2021-12-31,Madison,127
2021-12-31,Union,89
2021-12-31,Calhoun,75
2021-12-31,Liberty,91
2021-12-31,Lafayette,79
2021-12-31,Hamilton,51
2022-03-31,Miami-Dade,132085
2022-03-31,Broward,104345
2022-03-31,Pinellas,82275
2022-03-31,Palm Beach,57560
2022-03-31,Hillsborough,37586
2022-03-31,Brevard,21350
2022-03-31,Orange,18226
2022-03-31,Hernando,18402
2022-03-31,Pasco,21785
2022-03-31,Lee,15297
2022-03-31,Saint Lucie,10562
2022-03-31,Osceola,7593
2022-03-31,Manatee,9156
2022-03-31,Duval,6880
2022-03-31,Volusia,7565
2022-03-31,Seminole,5788
2022-03-31,Charlotte,7423
2022-03-31,Sarasota,7408
2022-03-31,Polk,6071
2022-03-31,Martin,4682
2022-03-31,Okaloosa,4482
2022-03-31,Collier,5232
2022-03-31,Indian River,4569
2022-03-31,Lake,4172
2022-03-31,Citrus,4951
2022-03-31,Escambia,3018
2022-03-31,Bay,3366
2022-03-31,Santa Rosa,2795
2022-03-31,Marion,3025
2022-03-31,Saint Johns,2262
2022-03-31,Highlands,2482
2022-03-31,Leon,1631
2022-03-31,Clay,1525
2022-03-31,Alachua,1504
2022-03-31,Flagler,880
2022-03-31,Levy,1167
2022-03-31,Nassau,764
2022-03-31,Hendry,511
2022-03-31,Gadsden,480
2022-03-31,Sumter,620
2022-03-31,Putnam,781
2022-03-31,Taylor,744
2022-03-31,Jackson,438
2022-03-31,Okeechobee,453
2022-03-31,Walton,567
2022-03-31,DeSoto,370
2022-03-31,Dixie,616
2022-03-31,Columbia,451
2022-03-31,Monroe,293
2022-03-31,Wakulla,403
2022-03-31,Gilchrist,432
2022-03-31,Baker,357
2022-03-31,Bradford,286
2022-03-31,Glades,179
2022-03-31,Washington,228
2022-03-31,Suwannee,322
2022-03-31,Holmes,148
2022-03-31,Franklin,189
2022-03-31,Jefferson,200
2022-03-31,Hardee,139
2022-03-31,Gulf,142
2022-03-31,Union,99
2022-03-31,Madison,126
2022-03-31,Calhoun,78
2022-03-31,Liberty,83
2022-03-31,Lafayette,87
2022-03-31,Hamilton,53
2022-06-30,Miami-Dade,139765
2022-06-30,Broward,113184
2022-06-30,Pinellas,92366
2022-06-30,Palm Beach,68182
2022-06-30,Hillsborough,46094
2022-06-30,Brevard,27049
2022-06-30,Orange,22855
2022-06-30,Pasco,24411
2022-06-30,Hernando,19741
2022-06-30,Lee,18362
2022-06-30,Saint Lucie,13233
2022-06-30,Duval,10018
2022-06-30,Osceola,9356
2022-06-30,Manatee,11037
2022-06-30,Volusia,9598
2022-06-30,Seminole,7770
2022-06-30,Charlotte,8967
2022-06-30,Sarasota,8878
2022-06-30,Martin,6343
2022-06-30,Polk,7592
2022-06-30,Okaloosa,5850
2022-06-30,Collier,6471
2022-06-30,Indian River,6071
2022-06-30,Lake,4991
2022-06-30,Escambia,4318
2022-06-30,Santa Rosa,3851
2022-06-30,Citrus,5610
2022-06-30,Bay,4175
2022-06-30,Marion,3693
2022-06-30,Saint Johns,2730
2022-06-30,Highlands,2990
2022-06-30,Clay,1887
2022-06-30,Leon,2013
2022-06-30,Alachua,1888
2022-06-30,Flagler,1176
2022-06-30,Levy,1249
2022-06-30,Nassau,801
2022-06-30,Sumter,717
2022-06-30,Hendry,584
2022-06-30,Putnam,851
2022-06-30,Gadsden,529
2022-06-30,Jackson,484
2022-06-30,Okeechobee,515
2022-06-30,Walton,653
2022-06-30,Taylor,763
2022-06-30,DeSoto,442
2022-06-30,Dixie,628
2022-06-30,Monroe,322
2022-06-30,Columbia,488
2022-06-30,Wakulla,435
2022-06-30,Gilchrist,448
2022-06-30,Bradford,308
2022-06-30,Baker,365
2022-06-30,Washington,252
2022-06-30,Glades,204
2022-06-30,Suwannee,325
2022-06-30,Franklin,216
2022-06-30,Holmes,152
2022-06-30,Hardee,171
2022-06-30,Jefferson,214
2022-06-30,Gulf,155
2022-06-30,Union,118
2022-06-30,Calhoun,85
2022-06-30,Madison,136
2022-06-30,Lafayette,99
2022-06-30,Liberty,86
2022-06-30,Hamilton,55
2022-09-30,Miami-Dade,148641
2022-09-30,Broward,122472
2022-09-30,Pinellas,99245
2022-09-30,Palm Beach,76346
2022-09-30,Hillsborough,55578
2022-09-30,Brevard,32522
2022-09-30,Orange,29624
2022-09-30,Pasco,28964
2022-09-30,Hernando,22042
2022-09-30,Lee,23372
2022-09-30,Saint Lucie,16692
2022-09-30,Duval,15224
2022-09-30,Volusia,12791
2022-09-30,Seminole,10799
2022-09-30,Osceola,11552
2022-09-30,Manatee,13228
2022-09-30,Polk,10962
2022-09-30,Charlotte,10803
2022-09-30,Sarasota,10689
2022-09-30,Martin,7749
2022-09-30,Okaloosa,7789
2022-09-30,Collier,7817
2022-09-30,Indian River,7456
2022-09-30,Lake,7001
2022-09-30,Escambia,5954
2022-09-30,Santa Rosa,4976
2022-09-30,Citrus,6725
2022-09-30,Bay,4996
2022-09-30,Marion,4898
2022-09-30,Saint Johns,3797
2022-09-30,Highlands,3887
2022-09-30,Leon,3253
2022-09-30,Clay,2720
2022-09-30,Alachua,2907
2022-09-30,Flagler,1651
2022-09-30,Putnam,1202
2022-09-30,Nassau,1029
2022-09-30,Levy,1439
2022-09-30,Okeechobee,799
2022-09-30,Sumter,907
2022-09-30,Gadsden,695
2022-09-30,Walton,900
2022-09-30,Jackson,674
2022-09-30,Hendry,707
2022-09-30,Taylor,857
2022-09-30,DeSoto,562
2022-09-30,Columbia,661
2022-09-30,Dixie,719
2022-09-30,Wakulla,542
2022-09-30,Monroe,360
2022-09-30,Gilchrist,517
2022-09-30,Washington,351
2022-09-30,Glades,268
2022-09-30,Holmes,252
2022-09-30,Bradford,365
2022-09-30,Suwannee,413
2022-09-30,Baker,412
2022-09-30,Jefferson,288
2022-09-30,Hardee,237
2022-09-30,Franklin,261
2022-09-30,Union,144
2022-09-30,Madison,186
2022-09-30,Gulf,185
2022-09-30,Calhoun,106
2022-09-30,Lafayette,124
2022-09-30,Liberty,95
2022-09-30,Hamilton,68
2022-12-31,Miami-Dade,154121
2022-12-31,Broward,127506
2022-12-31,Pinellas,104533
2022-12-31,Palm Beach,81305
2022-12-31,Hillsborough,60595
2022-12-31,Brevard,36398
2022-12-31,Orange,33891
2022-12-31,Pasco,31278
2022-12-31,Hernando,23296
2022-12-31,Lee,25255
2022-12-31,Duval,18071
2022-12-31,Saint Lucie,18666
2022-12-31,Seminole,12559
2022-12-31,Volusia,14427
2022-12-31,Osceola,13335
2022-12-31,Manatee,14598
2022-12-31,Polk,13102
2022-12-31,Sarasota,11598
2022-12-31,Charlotte,11301
2022-12-31,Okaloosa,8698
2022-12-31,Martin,8502
2022-12-31,Collier,8825
2022-12-31,Lake,8206
2022-12-31,Indian River,8164
2022-12-31,Escambia,6533
2022-12-31,Santa Rosa,5562
2022-12-31,Citrus,7427
2022-12-31,Marion,5906
2022-12-31,Bay,5426
2022-12-31,Saint Johns,4321
2022-12-31,Highlands,4363
2022-12-31,Clay,3132
2022-12-31,Leon,3604
2022-12-31,Alachua,3302
2022-12-31,Flagler,1942
2022-12-31,Nassau,1153
2022-12-31,Putnam,1309
2022-12-31,Levy,1542
2022-12-31,Okeechobee,935
2022-12-31,Sumter,1032
2022-12-31,Walton,1016
2022-12-31,Jackson,772
2022-12-31,Gadsden,754
2022-12-31,Hendry,792
2022-12-31,Columbia,751
2022-12-31,DeSoto,602
2022-12-31,Taylor,882
2022-12-31,Dixie,738
2022-12-31,Wakulla,582
2022-12-31,Monroe,397
2022-12-31,Gilchrist,545
2022-12-31,Washington,380
2022-12-31,Bradford,408
2022-12-31,Holmes,288
2022-12-31,Baker,465
2022-12-31,Glades,295
2022-12-31,Suwannee,452
2022-12-31,Hardee,276
2022-12-31,Jefferson,303
2022-12-31,Franklin,285
2022-12-31,Madison,217
2022-12-31,Union,152
2022-12-31,Gulf,195
2022-12-31,Calhoun,115
2022-12-31,Lafayette,141
2022-12-31,Liberty,101
2022-12-31,Hamilton,73
2023-03-31,Miami-Dade,160702
2023-03-31,Broward,133164
2023-03-31,Pinellas,110723
2023-03-31,Palm Beach,87818
2023-03-31,Hillsborough,66527
2023-03-31,Brevard,40876
2023-03-31,Orange,39073
2023-03-31,Pasco,34468
2023-03-31,Hernando,24502
2023-03-31,Lee,29051
2023-03-31,Duval,21142
2023-03-31,Saint Lucie,20881
2023-03-31,Seminole,14886
2023-03-31,Volusia,16557
2023-03-31,Osceola,15394
2023-03-31,Manatee,16525
2023-03-31,Polk,15384
2023-03-31,Sarasota,13560
2023-03-31,Charlotte,12692
2023-03-31,Okaloosa,9740
2023-03-31,Martin,9507
2023-03-31,Collier,10287
2023-03-31,Lake,9815
2023-03-31,Indian River,9041
2023-03-31,Escambia,7203
2023-03-31,Santa Rosa,6230
2023-03-31,Citrus,8081
2023-03-31,Marion,6940
2023-03-31,Bay,5996
2023-03-31,Saint Johns,4887
2023-03-31,Highlands,4974
2023-03-31,Clay,3672
2023-03-31,Leon,4022
2023-03-31,Alachua,3682
2023-03-31,Flagler,2364
2023-03-31,Nassau,1266
2023-03-31,Sumter,1206
2023-03-31,Putnam,1406
2023-03-31,Okeechobee,1065
2023-03-31,Levy,1588
2023-03-31,Walton,1103
2023-03-31,Jackson,856
2023-03-31,Gadsden,809
2023-03-31,Hendry,870
2023-03-31,Columbia,823
2023-03-31,DeSoto,661
2023-03-31,Taylor,912
2023-03-31,Wakulla,622
2023-03-31,Dixie,742
2023-03-31,Monroe,430
2023-03-31,Gilchrist,576
2023-03-31,Holmes,328
2023-03-31,Washington,399
2023-03-31,Bradford,443
2023-03-31,Baker,502
2023-03-31,Glades,320
2023-03-31,Suwannee,487
2023-03-31,Hardee,318
2023-03-31,Jefferson,323
2023-03-31,Franklin,308
2023-03-31,Madison,227
2023-03-31,Gulf,212
2023-03-31,Union,164
2023-03-31,Calhoun,123
2023-03-31,Lafayette,158
2023-03-31,Liberty,109
2023-03-31,Hamilton,78
2023-06-30,Miami-Dade,163123
2023-06-30,Broward,134188
2023-06-30,Pinellas,115238
2023-06-30,Palm Beach,93037
2023-06-30,Hillsborough,72052
2023-06-30,Brevard,45894
2023-06-30,Orange,45646
2023-06-30,Pasco,35550
2023-06-30,Lee,32488
2023-06-30,Hernando,24336
2023-06-30,Duval,23738
2023-06-30,Saint Lucie,23015
2023-06-30,Seminole,17560
2023-06-30,Volusia,18944
2023-06-30,Osceola,17517
2023-06-30,Manatee,18360
2023-06-30,Polk,18148
2023-06-30,Sarasota,15360
2023-06-30,Charlotte,14281
2023-06-30,Lake,11854
2023-06-30,Martin,10447
2023-06-30,Okaloosa,10333
2023-06-30,Collier,10435
2023-06-30,Indian River,9748
2023-06-30,Santa Rosa,6540
2023-06-30,Marion,8145
2023-06-30,Escambia,7313
2023-06-30,Citrus,8579
2023-06-30,Bay,6477
2023-06-30,Saint Johns,5420
2023-06-30,Highlands,5735
2023-06-30,Clay,4247
2023-06-30,Leon,4427
2023-06-30,Alachua,3995
2023-06-30,Flagler,2777
2023-06-30,Sumter,1396
2023-06-30,Putnam,1505
2023-06-30,Okeechobee,1246
2023-06-30,Nassau,1271
2023-06-30,Jackson,927
2023-06-30,Levy,1573
2023-06-30,Gadsden,891
2023-06-30,Hendry,964
2023-06-30,Walton,1069
2023-06-30,DeSoto,736
2023-06-30,Columbia,862
2023-06-30,Taylor,896
2023-06-30,Monroe,463
2023-06-30,Dixie,706
2023-06-30,Wakulla,593
2023-06-30,Holmes,374
2023-06-30,Washington,434
2023-06-30,Gilchrist,586
2023-06-30,Glades,387
2023-06-30,Bradford,464
2023-06-30,Hardee,372
2023-06-30,Baker,506
2023-06-30,Suwannee,523
2023-06-30,Jefferson,334
2023-06-30,Franklin,325
2023-06-30,Madison,238
2023-06-30,Union,169
2023-06-30,Gulf,207
2023-06-30,Calhoun,131
2023-06-30,Lafayette,151
2023-06-30,Liberty,113
2023-06-30,Hamilton,76
2023-09-30,Miami-Dade,168713
2023-09-30,Broward,140669
2023-09-30,Pinellas,120577
2023-09-30,Palm Beach,99693
2023-09-30,Hillsborough,77139
2023-09-30,Brevard,49961
2023-09-30,Orange,50188
2023-09-30,Pasco,38413
2023-09-30,Lee,36006
2023-09-30,Hernando,25741
2023-09-30,Duval,25870
2023-09-30,Saint Lucie,25249
2023-09-30,Seminole,19496
2023-09-30,Volusia,21198
2023-09-30,Osceola,19846
2023-09-30,Manatee,20158
2023-09-30,Polk,19959
2023-09-30,Sarasota,16836
2023-09-30,Charlotte,15325
2023-09-30,Lake,13769
2023-09-30,Okaloosa,11373
2023-09-30,Martin,11612
2023-09-30,Collier,11246
2023-09-30,Indian River,10553
2023-09-30,Marion,9434
2023-09-30,Santa Rosa,7254
2023-09-30,Escambia,8013
2023-09-30,Citrus,8959
2023-09-30,Saint Johns,6084
2023-09-30,Bay,7204
2023-09-30,Highlands,6532
2023-09-30,Clay,4777
2023-09-30,Leon,4873
2023-09-30,Alachua,4381
2023-09-30,Flagler,3174
2023-09-30,Sumter,1622
2023-09-30,Okeechobee,1425
2023-09-30,Putnam,1631
2023-09-30,Nassau,1385
2023-09-30,Gadsden,985
2023-09-30,Jackson,980
2023-09-30,Hendry,1101
2023-09-30,Levy,1635
2023-09-30,Walton,1151
2023-09-30,DeSoto,794
2023-09-30,Columbia,955
2023-09-30,Taylor,899
2023-09-30,Monroe,506
2023-09-30,Holmes,416
2023-09-30,Wakulla,634
2023-09-30,Washington,473
2023-09-30,Glades,448
2023-09-30,Gilchrist,624
2023-09-30,Bradford,508
2023-09-30,Dixie,683
2023-09-30,Hardee,427
2023-09-30,Baker,544
2023-09-30,Suwannee,559
2023-09-30,Jefferson,354
2023-09-30,Franklin,351
2023-09-30,Madison,247
2023-09-30,Gulf,231
2023-09-30,Union,182
2023-09-30,Calhoun,146
2023-09-30,Lafayette,162
2023-09-30,Liberty,120
2023-09-30,Hamilton,85
2023-12-31,Miami-Dade,144400
2023-12-31,Pinellas,113000
2023-12-31,Broward,108461
2023-12-31,Palm Beach,80032
2023-12-31,Hillsborough,69047
2023-12-31,Brevard,48470
2023-12-31,Orange,44944
2023-12-31,Pasco,31640
2023-12-31,Lee,29216
2023-12-31,Hernando,24537
2023-12-31,Duval,22824
2023-12-31,Seminole,19212
2023-12-31,Saint Lucie,21450
2023-12-31,Volusia,20494
2023-12-31,Osceola,18645
2023-12-31,Manatee,18787
2023-12-31,Sarasota,15304
2023-12-31,Charlotte,14132
2023-12-31,Lake,13952
2023-12-31,Polk,15862
2023-12-31,Okaloosa,9456
2023-12-31,Martin,9148
2023-12-31,Indian River,9465
2023-12-31,Collier,8283
2023-12-31,Santa Rosa,6580
2023-12-31,Saint Johns,5734
2023-12-31,Escambia,6371
2023-12-31,Marion,6983
2023-12-31,Citrus,7324
2023-12-31,Bay,6017
2023-12-31,Clay,4309
2023-12-31,Leon,4564
2023-12-31,Highlands,4809
2023-12-31,Flagler,2841
2023-12-31,Alachua,3586
2023-12-31,Okeechobee,1470
2023-12-31,Sumter,1318
2023-12-31,Nassau,1247
2023-12-31,Putnam,1451
2023-12-31,Hendry,1130
2023-12-31,Jackson,942
2023-12-31,Gadsden,933
2023-12-31,Levy,1436
2023-12-31,Walton,959
2023-12-31,DeSoto,702
2023-12-31,Columbia,832
2023-12-31,Monroe,508
2023-12-31,Holmes,396
2023-12-31,Glades,483
2023-12-31,Taylor,733
2023-12-31,Washington,422
2023-12-31,Bradford,458
2023-12-31,Gilchrist,552
2023-12-31,Dixie,588
2023-12-31,Hardee,371
2023-12-31,Wakulla,496
2023-12-31,Baker,485
2023-12-31,Suwannee,498
2023-12-31,Franklin,315
2023-12-31,Jefferson,309
2023-12-31,Madison,222
2023-12-31,Gulf,210
2023-12-31,Calhoun,133
2023-12-31,Union,162
2023-12-31,Lafayette,151
2023-12-31,Hamilton,74
2023-12-31,Liberty,104
2024-03-31,Miami-Dade,195179
2024-03-31,Pinellas,113483
2024-03-31,Broward,137678
2024-03-31,Palm Beach,107860
2024-03-31,Hillsborough,63291
2024-03-31,Brevard,50558
2024-03-31,Orange,42931
2024-03-31,Pasco,35867
2024-03-31,Sarasota,31506
2024-03-31,Volusia,30002
2024-03-31,Lee,31996
2024-03-31,Hernando,24924
2024-03-31,Monroe,17884
2024-03-31,Duval,22508
2024-03-31,Seminole,18668
2024-03-31,Saint Lucie,20589
2024-03-31,Osceola,18794
2024-03-31,Manatee,19099
2024-03-31,Lake,14501
2024-03-31,Charlotte,13742
2024-03-31,Polk,15160
2024-03-31,Escambia,11351
2024-03-31,Okaloosa,9882
2024-03-31,Collier,10095
2024-03-31,Indian River,9537
2024-03-31,Martin,8770
2024-03-31,Santa Rosa,7299
2024-03-31,Saint Johns,6246
2024-03-31,Bay,8011
2024-03-31,Marion,6627
2024-03-31,Citrus,6760
2024-03-31,Clay,4332
2024-03-31,Flagler,3830
2024-03-31,Walton,3733
2024-03-31,Leon,4540
2024-03-31,Highlands,4600
2024-03-31,Alachua,3483
2024-03-31,Nassau,1483
2024-03-31,Okeechobee,1542
2024-03-31,Franklin,916
2024-03-31,Sumter,1336
2024-03-31,Putnam,1422
2024-03-31,Hendry,1122
2024-03-31,Gadsden,959
2024-03-31,Levy,1576
2024-03-31,Jackson,899
2024-03-31,Columbia,802
2024-03-31,DeSoto,673
2024-03-31,Gulf,479
2024-03-31,Holmes,396
2024-03-31,Glades,533
2024-03-31,Wakulla,576
2024-03-31,Taylor,684
2024-03-31,Washington,384
2024-03-31,Bradford,428
2024-03-31,Gilchrist,528
2024-03-31,Dixie,566
2024-03-31,Baker,480
2024-03-31,Suwannee,482
2024-03-31,Hardee,326
2024-03-31,Jefferson,297
2024-03-31,Madison,214
2024-03-31,Union,160
2024-03-31,Calhoun,128
2024-03-31,Lafayette,153
2024-03-31,Hamilton,74
2024-03-31,Liberty,102
2024-06-30,Miami-Dade,201887
2024-06-30,Pinellas,114926
2024-06-30,Broward,143723
2024-06-30,Palm Beach,113541
2024-06-30,Hillsborough,61953
2024-06-30,Brevard,52886
2024-06-30,Orange,44449
2024-06-30,Pasco,37034
2024-06-30,Sarasota,32303
2024-06-30,Volusia,32049
2024-06-30,Lee,34771
2024-06-30,Hernando,25382
2024-06-30,Duval,23565
2024-06-30,Monroe,17899
2024-06-30,Seminole,19552
2024-06-30,Saint Lucie,22556
2024-06-30,Osceola,20401
2024-06-30,Manatee,19819
2024-06-30,Lake,15687
2024-06-30,Charlotte,14422
2024-06-30,Polk,16056
2024-06-30,Escambia,11910
2024-06-30,Okaloosa,10376
2024-06-30,Collier,10532
2024-06-30,Martin,9386
2024-06-30,Indian River,10040
2024-06-30,Santa Rosa,7451
2024-06-30,Saint Johns,6673
2024-06-30,Bay,8321
2024-06-30,Marion,6808
2024-06-30,Clay,4778
2024-06-30,Flagler,3946
2024-06-30,Citrus,6617
2024-06-30,Leon,4912
2024-06-30,Walton,3808
2024-06-30,Highlands,5034
2024-06-30,Alachua,3685
2024-06-30,Nassau,1546
2024-06-30,Okeechobee,1709
2024-06-30,Sumter,1403
2024-06-30,Franklin,927
2024-06-30,Hendry,1230
2024-06-30,Putnam,1491
2024-06-30,Gadsden,1032
2024-06-30,Jackson,944
2024-06-30,Levy,1608
2024-06-30,Columbia,830
2024-06-30,DeSoto,745
2024-06-30,Gulf,494
2024-06-30,Glades,571
2024-06-30,Holmes,410
2024-06-30,Wakulla,572
2024-06-30,Taylor,649
2024-06-30,Washington,418
2024-06-30,Bradford,467
2024-06-30,Baker,511
2024-06-30,Gilchrist,527
2024-06-30,Dixie,550
2024-06-30,Hardee,351
2024-06-30,Suwannee,502
2024-06-30,Jefferson,314
2024-06-30,Madison,218
2024-06-30,Calhoun,144
2024-06-30,Union,168
2024-06-30,Lafayette,152
2024-06-30,Hamilton,83
2024-06-30,Liberty,109
2024-09-30,Miami-Dade,208421
2024-09-30,Broward,149121
2024-09-30,Pinellas,116754
2024-09-30,Palm Beach,117438
2024-09-30,Hillsborough,63404
2024-09-30,Brevard,54858
2024-09-30,Orange,48321
2024-09-30,Pasco,38686
2024-09-30,Sarasota,33265
2024-09-30,Volusia,33697
2024-09-30,Lee,36986
2024-09-30,Hernando,25996
2024-09-30,Duval,25017
2024-09-30,Monroe,17942
2024-09-30,Saint Lucie,24131
2024-09-30,Seminole,21042
2024-09-30,Osceola,22167
2024-09-30,Manatee,20635
2024-09-30,Lake,17054
2024-09-30,Charlotte,15032
2024-09-30,Polk,18125
2024-09-30,Escambia,12339
2024-09-30,Okaloosa,10765
2024-09-30,Collier,11080
2024-09-30,Martin,9730
2024-09-30,Indian River,10294
2024-09-30,Santa Rosa,7649
2024-09-30,Saint Johns,7031
2024-09-30,Bay,8564
