date,county,policies
2017-12-31,Martin,1427
2017-12-31,Citrus,2144
2017-12-31,Bay,1751
2017-12-31,Polk,1595
2017-12-31,Escambia,1084
2017-12-31,Indian River,1160
2017-12-31,Saint Johns,929
2017-12-31,Lake,1589
2017-12-31,Marion,1468
2017-12-31,Alachua,905
2017-12-31,Okaloosa,786
2017-12-31,Seminole,558
2017-12-31,Osceola,644
2017-12-31,Santa Rosa,1145
2017-12-31,Leon,634
2017-12-31,Clay,655
2017-12-31,Nassau,556
2017-12-31,Levy,774
2017-12-31,Putnam,663
2017-12-31,Walton,431
2017-12-31,Gadsden,302
2017-12-31,Taylor,406
2017-12-31,Highlands,364
2017-12-31,Monroe,250
2017-12-31,Jackson,253
2017-12-31,Dixie,389
2017-12-31,Hendry,249
2017-12-31,Columbia,329
2017-12-31,Gilchrist,376
2017-12-31,Sumter,310
2017-12-31,Suwannee,282
2017-12-31,Flagler,172
2017-12-31,DeSoto,169
2017-12-31,Wakulla,232
2017-12-31,Bradford,198
2017-12-31,Jefferson,158
2017-12-31,Okeechobee,178
2017-12-31,Baker,225
2017-12-31,Franklin,134
2017-12-31,Washington,155
2017-12-31,Madison,128
2017-12-31,Gulf,119
2017-12-31,Glades,97
2017-12-31,Calhoun,87
2017-12-31,Holmes,68
2017-12-31,Hardee,91
2017-12-31,Union,58
2017-12-31,Lafayette,62
2017-12-31,Liberty,69
2017-12-31,Hamilton,46
2018-06-30,Miami-Dade,78323
2018-06-30,Pinellas,52225
2018-06-30,Broward,50132
2018-06-30,Hillsborough,18796
2018-06-30,Palm Beach,20836
2018-06-30,Hernando,12471
2018-06-30,Pasco,14071
2018-06-30,Brevard,6367
2018-06-30,Manatee,5291
2018-06-30,Sarasota,4447
2018-06-30,Lee,5986
2018-06-30,Charlotte,3348
2018-06-30,Saint Lucie,2286
2018-06-30,Volusia,1983
2018-06-30,Orange,1669
2018-06-30,Collier,1947
2018-06-30,Duval,1642
2018-06-30,Citrus,2245
2018-06-30,Martin,1436
2018-06-30,Bay,1775
2018-06-30,Polk,1577
2018-06-30,Indian River,1248
2018-06-30,Escambia,1096
2018-06-30,Saint Johns,927
2018-06-30,Lake,1701
2018-06-30,Marion,1451
2018-06-30,Alachua,916
2018-06-30,Seminole,583
2018-06-30,Okaloosa,784
2018-06-30,Osceola,640
2018-06-30,Santa Rosa,1136
2018-06-30,Leon,628
2018-06-30,Clay,678
2018-06-30,Nassau,548
2018-06-30,Levy,791
2018-06-30,Gadsden,311
2018-06-30,Putnam,639
2018-06-30,Walton,432
2018-06-30,Taylor,432
2018-06-30,Highlands,374
2018-06-30,Hendry,261
2018-06-30,Monroe,242
2018-06-30,Jackson,250
2018-06-30,Dixie,393
2018-06-30,Sumter,325
2018-06-30,Columbia,323
2018-06-30,Gilchrist,376
2018-06-30,Flagler,180
2018-06-30,Suwannee,278
2018-06-30,DeSoto,183
2018-06-30,Wakulla,238
2018-06-30,Okeechobee,175
2018-06-30,Bradford,200
2018-06-30,Baker,230
2018-06-30,Franklin,141
2018-06-30,Jefferson,157
2018-06-30,Washington,153
2018-06-30,Madison,128
2018-06-30,Gulf,116
2018-06-30,Glades,95
2018-06-30,Holmes,69
2018-06-30,Calhoun,87
2018-06-30,Hardee,91
2018-06-30,Union,58
2018-06-30,Lafayette,66
2018-06-30,Liberty,65
2018-06-30,Hamilton,43
2018-12-31,Miami-Dade,74969
2018-12-31,Pinellas,52296
2018-12-31,Broward,49647
2018-12-31,Hillsborough,19136
2018-12-31,Palm Beach,19845
2018-12-31,Hernando,12460
2018-12-31,Pasco,13793
2018-12-31,Brevard,6465
2018-12-31,Manatee,5251
2018-12-31,Sarasota,4347
2018-12-31,Lee,5893
2018-12-31,Charlotte,3376
2018-12-31,Saint Lucie,2293
2018-12-31,Volusia,2063
2018-12-31,Orange,1677
2018-12-31,Collier,1875
2018-12-31,Duval,1591
2018-12-31,Citrus,2312
2018-12-31,Martin,1384
2018-12-31,Bay,1798
2018-12-31,Polk,1569
2018-12-31,Indian River,1264
2018-12-31,Lake,1730
2018-12-31,Saint Johns,947
2018-12-31,Marion,1461
2018-12-31,Escambia,1065
2018-12-31,Alachua,909
2018-12-31,Seminole,597
2018-12-31,Okaloosa,799
2018-12-31,Osceola,643
2018-12-31,Leon,665
2018-12-31,Santa Rosa,1126
2018-12-31,Clay,693
2018-12-31,Nassau,550
2018-12-31,Levy,809
2018-12-31,Gadsden,323
2018-12-31,Putnam,629
2018-12-31,Taylor,469
2018-12-31,Walton,440
2018-12-31,Highlands,386
2018-12-31,Jackson,262
2018-12-31,Dixie,396
2018-12-31,Sumter,318
2018-12-31,Columbia,338
2018-12-31,Hendry,252
2018-12-31,Monroe,230
2018-12-31,Gilchrist,376
2018-12-31,Flagler,196
2018-12-31,DeSoto,186
2018-12-31,Suwannee,278
2018-12-31,Wakulla,245
2018-12-31,Bradford,208
2018-12-31,Baker,250
2018-12-31,Okeechobee,162
2018-12-31,Jefferson,162
2018-12-31,Franklin,142
2018-12-31,Washington,156
2018-12-31,Madison,129
2018-12-31,Glades,93
2018-12-31,Gulf,113
2018-12-31,Holmes,77
2018-12-31,Calhoun,84
2018-12-31,Hardee,85
2018-12-31,Lafayette,64
2018-12-31,Union,54
2018-12-31,Liberty,64
2018-12-31,Hamilton,42
2019-03-31,Miami-Dade,73127
2019-03-31,Pinellas,52352
2019-03-31,Broward,49152
2019-03-31,Hillsborough,19173
2019-03-31,Palm Beach,19240
2019-03-31,Hernando,12451
2019-03-31,Pasco,13622
2019-03-31,Brevard,6506
2019-03-31,Manatee,5191
2019-03-31,Sarasota,4269
2019-03-31,Lee,5835
2019-03-31,Charlotte,3401
2019-03-31,Saint Lucie,2246
2019-03-31,Volusia,2089
2019-03-31,Orange,1644
2019-03-31,Collier,1875
2019-03-31,Duval,1605
2019-03-31,Citrus,2321
2019-03-31,Martin,1352
2019-03-31,Bay,1627
2019-03-31,Polk,1508
2019-03-31,Indian River,1275
2019-03-31,Lake,1709
2019-03-31,Saint Johns,947
2019-03-31,Marion,1436
2019-03-31,Escambia,1056
2019-03-31,Seminole,608
2019-03-31,Alachua,883
2019-03-31,Okaloosa,804
2019-03-31,Osceola,623
2019-03-31,Leon,650
2019-03-31,Santa Rosa,1111
2019-03-31,Clay,689
2019-03-31,Nassau,547
2019-03-31,Levy,801
2019-03-31,Putnam,627
2019-03-31,Gadsden,316
2019-03-31,Taylor,465
2019-03-31,Walton,444
2019-03-31,Highlands,383
2019-03-31,Jackson,247
2019-03-31,Dixie,396
2019-03-31,Sumter,313
2019-03-31,Columbia,327
2019-03-31,Hendry,239
2019-03-31,Gilchrist,371
2019-03-31,Monroe,219
2019-03-31,Flagler,199
2019-03-31,DeSoto,183
2019-03-31,Suwannee,273
2019-03-31,Wakulla,240
2019-03-31,Bradford,208
2019-03-31,Baker,254
2019-03-31,Okeechobee,157
2019-03-31,Jefferson,158
2019-03-31,Franklin,132
2019-03-31,Washington,146
2019-03-31,Madison,124
2019-03-31,Glades,88
2019-03-31,Gulf,99
2019-03-31,Hardee,83
2019-03-31,Calhoun,71
2019-03-31,Holmes,73
2019-03-31,Union,56
2019-03-31,Lafayette,65
2019-03-31,Hamilton,45
2019-03-31,Liberty,60
2019-06-30,Miami-Dade,72192
2019-06-30,Pinellas,52868
2019-06-30,Broward,49752
2019-06-30,Hillsborough,19470
2019-06-30,Palm Beach,19505
2019-06-30,Hernando,12504
2019-06-30,Pasco,13620
2019-06-30,Brevard,6651
2019-06-30,Manatee,5221
2019-06-30,Sarasota,4277
2019-06-30,Lee,6048
2019-06-30,Charlotte,3452
2019-06-30,Saint Lucie,2262
2019-06-30,Volusia,2152
2019-06-30,Orange,1690
2019-06-30,Collier,1922
2019-06-30,Duval,1619
2019-06-30,Citrus,2358
2019-06-30,Martin,1356
2019-06-30,Polk,1494
2019-06-30,Bay,1581
2019-06-30,Indian River,1293
2019-06-30,Saint Johns,965
2019-06-30,Lake,1696
2019-06-30,Marion,1439
2019-06-30,Escambia,1039
2019-06-30,Seminole,619
2019-06-30,Alachua,867
2019-06-30,Okaloosa,803
2019-06-30,Osceola,633
2019-06-30,Leon,662
2019-06-30,Santa Rosa,1067
2019-06-30,Clay,680
2019-06-30,Nassau,551
2019-06-30,Levy,793
2019-06-30,Gadsden,320
2019-06-30,Taylor,491
2019-06-30,Putnam,616
2019-06-30,Walton,448
2019-06-30,Highlands,393
2019-06-30,Jackson,250
2019-06-30,Dixie,402
2019-06-30,Hendry,252
2019-06-30,Sumter,309
2019-06-30,Columbia,324
2019-06-30,Monroe,221
2019-06-30,Flagler,199
2019-06-30,Gilchrist,363
2019-06-30,DeSoto,183
2019-06-30,Wakulla,246
2019-06-30,Suwannee,270
2019-06-30,Bradford,203
2019-06-30,Baker,254
2019-06-30,Okeechobee,159
2019-06-30,Jefferson,157
2019-06-30,Franklin,137
2019-06-30,Washington,149
2019-06-30,Madison,124
2019-06-30,Glades,87
2019-06-30,Gulf,103
2019-06-30,Holmes,75
2019-06-30,Hardee,81
2019-06-30,Calhoun,66
2019-06-30,Lafayette,68
2019-06-30,Union,56
2019-06-30,Liberty,66
2019-06-30,Hamilton,45
2019-09-30,Miami-Dade,72604
2019-09-30,Pinellas,52131
2019-09-30,Broward,50804
2019-09-30,Hillsborough,19277
2019-09-30,Palm Beach,19511
2019-09-30,Hernando,12510
2019-09-30,Pasco,13524
2019-09-30,Brevard,6717
2019-09-30,Manatee,5248
2019-09-30,Sarasota,4277
2019-09-30,Lee,6115
2019-09-30,Charlotte,3453
2019-09-30,Saint Lucie,2271
2019-09-30,Volusia,2184
2019-09-30,Orange,1740
2019-09-30,Collier,1951
2019-09-30,Duval,1603
2019-09-30,Citrus,2389
2019-09-30,Martin,1357
2019-09-30,Polk,1495
2019-09-30,Bay,1568
2019-09-30,Indian River,1339
2019-09-30,Saint Johns,998
2019-09-30,Lake,1693
2019-09-30,Marion,1416
2019-09-30,Seminole,616
2019-09-30,Escambia,991
2019-09-30,Alachua,858
2019-09-30,Okaloosa,802
2019-09-30,Osceola,642
2019-09-30,Leon,649
2019-09-30,Santa Rosa,1060
2019-09-30,Clay,672
2019-09-30,Nassau,547
2019-09-30,Levy,791
2019-09-30,Gadsden,311
2019-09-30,Taylor,485
2019-09-30,Putnam,599
2019-09-30,Highlands,393
2019-09-30,Walton,447
2019-09-30,Jackson,262
2019-09-30,Dixie,408
2019-09-30,Sumter,301
2019-09-30,Hendry,238
2019-09-30,Flagler,204
2019-09-30,Columbia,319
2019-09-30,Monroe,213
2019-09-30,Gilchrist,365
2019-09-30,DeSoto,179
2019-09-30,Wakulla,248
2019-09-30,Suwannee,266
2019-09-30,Bradford,205
2019-09-30,Baker,249
2019-09-30,Okeechobee,156
2019-09-30,Franklin,139
2019-09-30,Jefferson,156
2019-09-30,Washington,144
2019-09-30,Madison,120
2019-09-30,Glades,85
2019-09-30,Hardee,83
2019-09-30,Holmes,78
2019-09-30,Gulf,99
2019-09-30,Calhoun,74
2019-09-30,Union,61
2019-09-30,Lafayette,65
2019-09-30,Liberty,67
2019-09-30,Hamilton,42
2019-12-31,Miami-Dade,73377
2019-12-31,Pinellas,53814
2019-12-31,Broward,51690
2019-12-31,Hillsborough,20322
2019-12-31,Palm Beach,20123
2019-12-31,Hernando,14006
2019-12-31,Pasco,14849
2019-12-31,Brevard,7957
2019-12-31,Manatee,5947
2019-12-31,Lee,7285
2019-12-31,Sarasota,4777
2019-12-31,Charlotte,3844
2019-12-31,Orange,2682
2019-12-31,Volusia,2790
2019-12-31,Saint Lucie,2749
2019-12-31,Citrus,3290
2019-12-31,Duval,1961
2019-12-31,Collier,2241
2019-12-31,Polk,2040
2019-12-31,Seminole,1008
2019-12-31,Osceola,1073
2019-12-31,Martin,1490
2019-12-31,Lake,2082
2019-12-31,Indian River,1552
2019-12-31,Bay,1722
2019-12-31,Saint Johns,1222
2019-12-31,Marion,1783
2019-12-31,Escambia,1132
2019-12-31,Alachua,898
2019-12-31,Okaloosa,838
2019-12-31,Clay,853
2019-12-31,Leon,687
2019-12-31,Santa Rosa,1134
2019-12-31,Levy,940
2019-12-31,Nassau,644
2019-12-31,Taylor,548
2019-12-31,Gadsden,327
2019-12-31,Flagler,342
2019-12-31,Putnam,657
2019-12-31,Highlands,421
2019-12-31,Walton,469
2019-12-31,Jackson,277
2019-12-31,Sumter,383
2019-12-31,Hendry,279
2019-12-31,Dixie,436
2019-12-31,Columbia,354
2019-12-31,Gilchrist,399
2019-12-31,Monroe,211
2019-12-31,Wakulla,317
2019-12-31,Suwannee,316
2019-12-31,DeSoto,210
2019-12-31,Baker,277
2019-12-31,Bradford,219
2019-12-31,Washington,176
2019-12-31,Okeechobee,203
2019-12-31,Jefferson,180
2019-12-31,Franklin,165
2019-12-31,Madison,131
2019-12-31,Glades,99
2019-12-31,Holmes,69
2019-12-31,Hardee,84
2019-12-31,Gulf,108
2019-12-31,Calhoun,75
2019-12-31,Union,65
2019-12-31,Lafayette,76
2019-12-31,Liberty,68
2019-12-31,Hamilton,49
2020-03-31,Miami-Dade,75674
2020-03-31,Pinellas,54118
2020-03-31,Broward,52859
2020-03-31,Hillsborough,20393
2020-03-31,Palm Beach,20650
2020-03-31,Hernando,14025
2020-03-31,Pasco,14928
2020-03-31,Brevard,8093
2020-03-31,Manatee,5885
2020-03-31,Lee,7281
2020-03-31,Sarasota,4724
2020-03-31,Orange,2761
2020-03-31,Charlotte,3867
2020-03-31,Volusia,2846
2020-03-31,Saint Lucie,2793
2020-03-31,Citrus,3324
2020-03-31,Duval,1968
2020-03-31,Collier,2242
2020-03-31,Polk,2017
2020-03-31,Seminole,1019
2020-03-31,Osceola,1109
2020-03-31,Martin,1492
2020-03-31,Lake,2060
2020-03-31,Indian River,1566
2020-03-31,Bay,1706
2020-03-31,Marion,1796
2020-03-31,Saint Johns,1237
2020-03-31,Escambia,1116
2020-03-31,Alachua,905
2020-03-31,Okaloosa,847
2020-03-31,Clay,853
2020-03-31,Leon,688
2020-03-31,Santa Rosa,1122
2020-03-31,Levy,956
2020-03-31,Nassau,631
2020-03-31,Gadsden,328
2020-03-31,Taylor,551
2020-03-31,Flagler,344
2020-03-31,Putnam,649
2020-03-31,Highlands,432
2020-03-31,Walton,470
2020-03-31,Jackson,286
2020-03-31,Sumter,378
2020-03-31,Hendry,277
2020-03-31,Dixie,435
2020-03-31,Columbia,356
2020-03-31,Gilchrist,403
2020-03-31,Monroe,213
2020-03-31,Wakulla,313
2020-03-31,DeSoto,214
2020-03-31,Suwannee,318
2020-03-31,Baker,285
2020-03-31,Bradford,228
2020-03-31,Washington,184
2020-03-31,Okeechobee,199
2020-03-31,Jefferson,178
2020-03-31,Franklin,166
2020-03-31,Madison,130
2020-03-31,Glades,104
2020-03-31,Holmes,74
2020-03-31,Gulf,107
2020-03-31,Hardee,84
2020-03-31,Calhoun,74
2020-03-31,Union,66
2020-03-31,Lafayette,75
2020-03-31,Liberty,73
2020-03-31,Hamilton,48
2020-06-30,Miami-Dade,84235
2020-06-30,Broward,58355
2020-06-30,Pinellas,55678
2020-06-30,Hillsborough,21195
2020-06-30,Palm Beach,23085
2020-06-30,Hernando,14292
2020-06-30,Pasco,15310
2020-06-30,Brevard,8487
2020-06-30,Lee,7651
2020-06-30,Manatee,5987
2020-06-30,Orange,3353
2020-06-30,Sarasota,4815
2020-06-30,Charlotte,4017
2020-06-30,Saint Lucie,3009
2020-06-30,Volusia,3054
2020-06-30,Citrus,3457
2020-06-30,Duval,2127
2020-06-30,Collier,2371
2020-06-30,Seminole,1153
2020-06-30,Polk,2120
2020-06-30,Osceola,1286
2020-06-30,Martin,1596
2020-06-30,Lake,2159
2020-06-30,Indian River,1677
2020-06-30,Bay,1797
2020-06-30,Saint Johns,1305
2020-06-30,Marion,1868
2020-06-30,Escambia,1168
2020-06-30,Okaloosa,898
2020-06-30,Alachua,924
2020-06-30,Leon,763
2020-06-30,Clay,881
2020-06-30,Santa Rosa,1154
2020-06-30,Levy,1003
2020-06-30,Nassau,652
2020-06-30,Gadsden,351
2020-06-30,Taylor,571
2020-06-30,Highlands,469
2020-06-30,Flagler,370
2020-06-30,Putnam,666
2020-06-30,Jackson,308
2020-06-30,Walton,488
2020-06-30,Sumter,395
2020-06-30,Dixie,464
2020-06-30,Hendry,290
2020-06-30,Columbia,368
2020-06-30,Monroe,222
2020-06-30,Gilchrist,409
2020-06-30,Wakulla,336
2020-06-30,DeSoto,225
2020-06-30,Suwannee,326
2020-06-30,Bradford,249
2020-06-30,Baker,294
2020-06-30,Washington,201
2020-06-30,Okeechobee,217
2020-06-30,Jefferson,179
2020-06-30,Franklin,174
2020-06-30,Holmes,95
2020-06-30,Glades,103
2020-06-30,Madison,129
2020-06-30,Gulf,112
2020-06-30,Hardee,87
2020-06-30,Calhoun,74
2020-06-30,Union,69
2020-06-30,Liberty,81
2020-06-30,Lafayette,77
2020-06-30,Hamilton,51
2020-09-30,Miami-Dade,93881
2020-09-30,Broward,65685
2020-09-30,Pinellas,57943
2020-09-30,Palm Beach,26578
2020-09-30,Hillsborough,22215
2020-09-30,Hernando,14634
2020-09-30,Pasco,15800
2020-09-30,Brevard,8976
2020-09-30,Lee,7985
2020-09-30,Orange,3788
2020-09-30,Manatee,6092
2020-09-30,Sarasota,4907
2020-09-30,Charlotte,4164
2020-09-30,Saint Lucie,3308
2020-09-30,Volusia,3312
2020-09-30,Duval,2353
2020-09-30,Citrus,3605
2020-09-30,Collier,2527
2020-09-30,Seminole,1324
2020-09-30,Osceola,1471
2020-09-30,Polk,2229
2020-09-30,Martin,1693
2020-09-30,Lake,2234
2020-09-30,Indian River,1844
2020-09-30,Saint Johns,1372
2020-09-30,Bay,1867
2020-09-30,Marion,1910
2020-09-30,Escambia,1195
2020-09-30,Okaloosa,951
2020-09-30,Leon,845
2020-09-30,Alachua,954
2020-09-30,Clay,926
2020-09-30,Santa Rosa,1191
2020-09-30,Levy,1034
2020-09-30,Nassau,671
2020-09-30,Highlands,517
2020-09-30,Gadsden,366
2020-09-30,Taylor,604
2020-09-30,Flagler,398
2020-09-30,Putnam,682
2020-09-30,Jackson,329
2020-09-30,Hendry,322
2020-09-30,Walton,488
2020-09-30,Sumter,409
2020-09-30,Dixie,482
2020-09-30,Columbia,379
2020-09-30,Monroe,226
2020-09-30,Gilchrist,410
2020-09-30,Wakulla,336
2020-09-30,DeSoto,230
2020-09-30,Okeechobee,237
2020-09-30,Baker,306
2020-09-30,Bradford,254
2020-09-30,Suwannee,324
2020-09-30,Washington,210
2020-09-30,Jefferson,190
2020-09-30,Franklin,176
2020-09-30,Holmes,102
2020-09-30,Glades,106
2020-09-30,Madison,130
2020-09-30,Gulf,123
2020-09-30,Hardee,91
2020-09-30,Union,75
2020-09-30,Calhoun,75
2020-09-30,Liberty,86
2020-09-30,Lafayette,77
2020-09-30,Hamilton,53
2020-12-31,Miami-Dade,101964
2020-12-31,Broward,72467
2020-12-31,Pinellas,59928
2020-12-31,Palm Beach,30185
2020-12-31,Hillsborough,23180
2020-12-31,Hernando,14920
2020-12-31,Pasco,16264
2020-12-31,Brevard,9448
2020-12-31,Orange,4446
2020-12-31,Lee,8250
2020-12-31,Manatee,6232
2020-12-31,Sarasota,4997
2020-12-31,Charlotte,4312
2020-12-31,Saint Lucie,3712
2020-12-31,Volusia,3530
2020-12-31,Duval,2614
2020-12-31,Collier,2687
2020-12-31,Citrus,3681
2020-12-31,Osceola,1748
2020-12-31,Seminole,1541
2020-12-31,Polk,2392
2020-12-31,Martin,1812
2020-12-31,Lake,2377
2020-12-31,Indian River,1991
2020-12-31,Saint Johns,1433
2020-12-31,Bay,1960
2020-12-31,Marion,1948
2020-12-31,Okaloosa,1054
2020-12-31,Escambia,1241
2020-12-31,Leon,900
2020-12-31,Clay,974
2020-12-31,Alachua,994
2020-12-31,Santa Rosa,1254
2020-12-31,Levy,1061
2020-12-31,Nassau,695
2020-12-31,Highlands,576
2020-12-31,Flagler,430
2020-12-31,Taylor,635
2020-12-31,Gadsden,381
2020-12-31,Jackson,345
2020-12-31,Putnam,694
2020-12-31,Hendry,346
2020-12-31,Walton,501
2020-12-31,Sumter,426
2020-12-31,Dixie,500
2020-12-31,Columbia,391
2020-12-31,Monroe,234
2020-12-31,Okeechobee,255
2020-12-31,Gilchrist,415
2020-12-31,Wakulla,346
2020-12-31,DeSoto,240
2020-12-31,Bradford,258
2020-12-31,Suwannee,327
2020-12-31,Baker,305
2020-12-31,Washington,213
2020-12-31,Franklin,188
2020-12-31,Jefferson,188
2020-12-31,Holmes,108
2020-12-31,Glades,109
2020-12-31,Gulf,132
2020-12-31,Madison,129
2020-12-31,Hardee,89
2020-12-31,Calhoun,80
2020-12-31,Union,76
2020-12-31,Liberty,87
2020-12-31,Lafayette,76
2020-12-31,Hamilton,53
2021-03-31,Miami-Dade,106388
2021-03-31,Broward,76776
2021-03-31,Pinellas,62514
2021-03-31,Palm Beach,33616
2021-03-31,Hillsborough,24282
2021-03-31,Hernando,15195
2021-03-31,Pasco,16752
2021-03-31,Brevard,10448
2021-03-31,Orange,5841
2021-03-31,Lee,8837
2021-03-31,Manatee,6334
2021-03-31,Saint Lucie,4479
2021-03-31,Sarasota,5120
2021-03-31,Charlotte,4590
2021-03-31,Osceola,2483
2021-03-31,Volusia,3763
2021-03-31,Duval,2889
2021-03-31,Collier,2991
2021-03-31,Seminole,1805
