geoid,county,state,median_income_e,median_income_m,nonrenewal_2023,nonrenewal_2022,nonrenewal_2021,nonrenewal_2020,nonrenewal_2019,nonrenewal_2018,pc_change_non_renewal,flag,population,alr_valb,alr_vra_npctl,premium_2018,premium_2019,premium_2020,premium_2021,premium_2022,premium_2023,pc_change_premium
12033,Escambia,FL,65715,1773,2.119531572193403,3.0350341391497815,1.5039876961462997,0.8928378407592366,0.8999684030463821,0.7571781992653123,179.925065757305,NA,321367,0.003267800511829,93.63665287941457,1819.2598,1837.5269,1875.417,2220.3796,2854.615,3266.8198,79.5686245581857
12035,Flagler,FL,72923,3495,4.120963905462879,4.777696693868061,1.077624809947306,0.6608289409187459,0.6864399508051369,0.5529939437737124,645.2095907851743,NA,115270,0.001609622775797,79.57365574292078,1193.5471,1297.7764,1322.7206,1615.9596,2075.6477,2377.0801,99.1609799060297
12037,Franklin,FL,62734,3571,9.510869565217392,7.50791870133298,1.5779092702169626,0.8,0.234192037470726,0.22026431718061676,4217.934782608696,NA,12426,0.002945985611813,95.57747375119312,3355.8647,2707.02,3014.2903,3795.4807,4077.8401,4882.0503,45.47816245392729
12039,Gadsden,FL,46047,4137,1.0752688172043012,1.4450867052023122,1.0869565217391304,1.1345218800648298,0.9043927648578811,0.6140350877192983,75.11520737327191,NA,43693,0.001338437728627,84.88705058860961,1376.3896,1477.3574,1499.4546,1693.9355,2103.0598,2340.8198,70.06956460583545
12041,Gilchrist,FL,61070,5641,1.8404907975460123,0.4531722054380665,2.092377766706996,1.023890784982935,0.5597014925373134,0.2,820.2453987730062,NA,17826,0.001386650504079,79.76455615653833,1361.1311,1326.1409,1406.9949,1521.6991,2004.019,2154.1418,58.26115500556851
12043,Glades,FL,38905,5265,16.22641509433962,32.461483719868085,0.2991256327657616,0.23713540431586438,0.23769907297361542,0.45949214026602175,3431.380337636544,NA,12052,0.00319109133287,97.83646197900096,1696.6451,1927.3396,1781.1899,2354.5652,2615.6545,2873.4189,69.35886591721511
12045,Gulf,FL,67361,11525,6.057998451079941,5.996013432219369,3.575198622145675,2.7789096243174964,1.0494752623688157,3.0412636752814337,99.1934635696901,NA,14176,0.004505074382275,98.05917912822144,2184.8914,2493.6196,2347.3098,2601.3052,3200.749,3291.3911,50.64323563175726
12047,Hamilton,FL,47696,8751,0.17391304347826086,1.2903225806451613,1.202749140893471,0.38461538461538464,0.8264462809917356,0.218343945154444,-20.349042262085746,NA,13941,0.002054280478406,91.82309895004772,1591.6273,1993.3301,1708.325,1761.2903,2276.04,3009.3149,89.07158101648544
12049,Hardee,FL,54231,6239,4.638218923933209,4.912280701754386,0.8882309400444115,0.23790642347343377,0.3436426116838488,0.5240174672489083,785.1267779839206,NA,25302,0.001986756198892,93.15940184537067,1870.9509,1991.98,1929.4998,2266.1929,2725.3794,3079.8906,64.61632424453256
12051,Hendry,FL,53044,6314,6.883445945945946,23.433373349339735,0.8979048885932823,0.3969686033922772,0.44709388971684055,0.4863449307893753,1315.3423856548854,NA,39371,0.002651947278192,97.58192809417754,2145.1282,2291.4609,2295.1804,2644.7495,2784.4399,3316.7705,54.61875425440773
12053,Hernando,FL,63193,1815,2.939836447689851,2.8340346569449784,0.9805619167791766,0.8588324033856114,0.6377250719104114,0.5806638923836253,406.2888335663206,NA,194448,0.002867856465214,91.25039770919504,1312.6101,1370.9771,1382.8452,1531.8462,1966.7993,2178.3206,65.95336269315617
12055,Highlands,FL,55581,2153,9.141835518474375,12.551968155683326,0.44499637793645863,0.2606326264660585,0.30100772150242117,0.4075193900354936,2143.288477065631,NA,101136,0.001564970177211,85.84155265669743,1418.2926,1610.4402,1576.1898,1812.9595,2132.2002,2399.8501,69.20698169052001
12057,Hillsborough,FL,75011,1202,2.5175202287241905,2.099621372706001,0.962186570180709,0.8056710970573242,0.8677124591598088,0.6987703412756596,260.27863233695086,NA,1458282,0.002098561357969,85.68246897868278,1833.7336,1922.0001,1959.4703,2134.1028,2680.1792,3048.2705,66.2330068009879
12059,Holmes,FL,48236,3410,0.322061191626409,0.30075187969924816,0.3225806451612903,0.5128205128205128,0.7092198581560284,0.35211267605633806,-8.53462157809985,NA,19618,0.005234945683518,98.66369710467706,1562.4998,1835.0596,1915.2017,2115.3091,2368.7195,2566.4404,64.25220662428244
12061,Indian River,FL,71049,2035,4.785904202547719,6.377100549403872,1.4602007176051583,1.2549019607843137,0.7000622277535781,0.4143646408839779,1054.9982142148497,NA,159719,0.004934059829998,97.32739420935413,2002.2808,2045.3018,2061.1401,2351.7849,2809.1401,3267.7061,63.19919264071252
12063,Jackson,FL,47327,2214,0.6431956668923494,0.9987113402061855,0.6894287590282338,0.8825526137135099,0.9982174688057042,0.6538321830730113,-1.6267960580756722,NA,47249,0.002095095482827,92.01399936366529,1392.1418,1531.8647,1604.5056,1822.0703,2118.5801,2472.1597,77.57958995269017
12065,Jefferson,FL,56984,6137,1.2257405515832482,1.2845849802371543,0.49800796812749004,0.8592910848549946,0.7856341189674524,0.33594624860022393,264.8621041879469,NA,14359,0.001566145503529,81.7053770283169,1459.3827000000001,1461.3799,1600.9705,1744.6102,2167.1396,2392.0808,63.91045337182633
12067,Lafayette,FL,60692,5425,2.479338842975207,1.6528925619834711,0.8403361344537815,0,3.488372093023256,1.282051282051282,93.38842975206614,<250 policies in 2022,8205,0.002543457964995,91.02768055997454,2249.5396,1522.22,1617.3347,1667.625,3129.3557,3520.6943,56.50732709928734
12069,Lake,FL,69956,1970,2.0146645652024944,2.1643903423559387,0.8544964297176686,0.3389830508474576,0.4062742881367908,0.3066238132180723,557.0476519935702,NA,383042,0.001217490364691,71.07858733693922,1205.97,1354.9143,1431.1853,1626.005,1998.0698,2324.3401,92.73614600694874
12071,Lee,FL,73099,1143,2.531658982869588,3.9805716774688915,1.8154557589159361,0.5584341356919992,0.8437286358238212,0.3854590026449906,556.7907262504015,NA,759922,0.003297423414894,92.74578428253261,1871.4661,1869.0496,1886.3794,2161.6196,2719.8433,3249.0344,73.6090437331459
12073,Leon,FL,65074,1311,0.8374918637448471,1.4091879051415228,0.7152903355435001,0.650974305914813,0.5248265790434465,0.48088038100522495,74.15804362701738,NA,292157,0.001373817858833,73.59210944957046,1214.7349,1335.5516,1366.0012,1543.3733,1950.2424,2188.8472,80.19134874613385
12075,Levy,FL,53805,3062,6.246056782334384,2.997601918465228,1.2217470983506415,0.5721551176096631,0.7879185817465528,1.1842105263157896,427.4447949526813,NA,42750,0.002841148450649,92.07763283487114,1460.9937,1653.7493,1627.7798,1846.3298,2214.0005,2621.3132,79.41988387766492
12077,Liberty,FL,53824,7803,1.9607843137254901,1.2987012987012987,0.7299270072992701,0.8,0.8,0,Inf,<250 policies in 2022,6344,0.003123234021185,93.98663697104676,1905.2102,1904.9102,1665.0052,2078.02,2486.4399,2372.395,24.521430758663794
12079,Madison,FL,48176,3501,0.7537688442211055,0.7109004739336493,1.7565872020075282,0.26455026455026454,0.43731778425655976,0.14992503748125938,402.76381909547734,NA,17964,0.002465813180635,91.0913140311804,1386.2598,1425.0398,1388.6198,1567.3303,2274.1997,2508.6304,80.963943410896
12081,Manatee,FL,75792,1748,3.1644482618765193,3.5221484744267664,0.8850281140724279,0.7896426876145979,0.48131259292007006,0.39665290154314276,697.7877508434995,NA,399485,0.00296423263694,91.7912822144448,1689.72,1968.5061,1713.0798,1937.7753,2516.374,2821.0493,66.95365504343916
12083,Marion,FL,58535,1504,1.7090368207406952,1.390077784807771,0.7592011883149035,0.554367624930704,0.5477810587580776,0.4942483488606045,245.78503391676563,NA,375566,0.001530533341596,81.22812599427299,1109.3928,1157.8416,1234.0701,1399.8198,1824.4098,2109.4736,90.14668204084249
12085,Martin,FL,80701,2009,3.684126455774757,4.865811352423288,1.2138947596596759,1.2334399269072638,1.1129061209836655,0.3305004721435316,1014.7114047615622,NA,158246,0.004025305123056,95.86382437161947,2506.8025,2691.502,2707.0703,3246.4697,4081.7908,4814.4795,92.05659400770506
12086,Miami-Dade,FL,68694,832,4.288040158745816,1.942880193256645,1.2604865736615198,2.3749917649384016,3.256857314846652,1.6005642969236926,167.90802262598825,NA,2698679,0.00251113864529,89.34139357301943,3685.8467,3870.6145,3916.8599,4237.3159,4872.3394,5443.6855,47.691587390218906
12087,Monroe,FL,82430,3751,4.27769213829553,3.2594371574604346,0.6522972206466251,0.8286554397219994,0.28154327424400416,0.12885088438561557,3219.877980420812,NA,82390,0.004975632892087,98.9500477251034,4951.9878,5275.3276,5435.2881,5616.0049,6568.6904,7607.8936,53.63312486351441
12089,Nassau,FL,88900,3972,2.7013337835556306,2.4308370098570022,0.6171781244642551,0.8120601340940323,0.5758538522637013,0.3903842202588864,591.9679749771186,NA,90123,0.001470964931133,74.19662742602608,1468.5696,1610.0746,1566.0552,1751.7549,2262.979,2460.7139,67.5585481273751
12091,Okaloosa,FL,79097,2829,1.983404169196519,4.224139945745704,1.8231867981901044,1.191765980498375,0.5957108816521048,0.5186590765338394,282.4099989633776,NA,211293,0.00402395483365,95.9274578428253,1780.3596,1731.3098,1914.2307,2263.2295,2879.2368,3256.5996,82.91808014515719
12093,Okeechobee,FL,52288,3531,8.28258221680877,24.41469718360082,0.5319148936170213,0.27548209366391185,0.9242144177449169,0.19102196752626552,4235.93179049939,NA,39455,0.002632070116648,94.90932230353167,1759.3055,1952.6201,1944.3101,2258.5674,2856.3047,3480.6204,97.84059107414829
12095,Orange,FL,77011,1108,2.3034331846890903,1.8922900690743432,0.7551636977568039,0.8686169391835856,0.8774691340358428,0.9112648074014722,152.77319676784975,NA,1428790,9.03316467475e-4,62.55170219535475,1595.6831,1800.9502,1882.73,2194.0935,2558.2798,2886.8298,80.91498242978196
12097,Osceola,FL,68711,1970,3.957546874242605,2.9040002799535194,1.0343488705892252,0.7829644502242076,0.7516451293259716,1.0314367322311628,283.6926445000458,NA,387795,0.001219187746457,73.91027680559975,1542.0708,1713.8792,1794.24,1982.1885,2347.6489,2634.2363,70.8246015682289
12099,Palm Beach,FL,81115,1028,3.440222493033847,3.035572983967971,3.367487592643904,2.0461764708423162,1.384565288179746,0.8031855524483701,328.3222578577183,NA,1489461,0.003438588850911,94.4638880050907,2641.2617,2993.689,3278.7295,3465.7397,4319.3701,5118.8188,93.80203029483977
12101,Pasco,FL,67384,1352,2.6358607690302476,2.27302301867824,0.6548434526750445,0.6642485201833638,0.5980118728088198,0.5871410301127776,348.93145493919127,NA,561566,0.002690589201709,91.28221444479796,1495.1477,1558.9597,1679.3998,1791.6497,2299.3589,2673.4502,78.80843477871787
12103,Pinellas,FL,70293,911,3.704842676535273,2.8961145484187822,1.3695314493820572,1.0611363118410826,0.6614188002877095,0.40203069519030427,821.5322911554198,NA,958822,0.00188015409383,84.5370664969774,2157.6763,2299.1401,2287.5996,2613.707,3069.6409,3361.9854,55.815096082762736
12105,Polk,FL,63644,868,4.317815639406054,3.8927052666012436,0.5841250834894537,0.6338130879215238,0.65638424546238,0.578181726819341,646.7921311105705,NA,721918,0.001388796603815,79.73273942093543,1512.7106,1680.7983,1709.5796,1859.0105,2277.8774,2637.99,74.38828021698265
